TABLE 1
-------

SPRITE   H    L    INK    PAPER    FLASH    BRIGHT    XPOS    YPOS      1     2     3     4     5     6     7     8
------   -    -    ---    -----    -----    ------    ----    ----      -     -     -     -     -     -     -     -
   1     1    2     7       0        0         1        1       1      29    29    28    15     7     3     0     0
   1     1    2     7       0        0         1        2       1      92    92    28   120   112    96   128   128
   3     1    6     7       0        0         1        1       1     255   227   127     0    60    24    60   126
   3     1    6     7       0        0         1        2       1     255   142   255    63    31    63    31    63
   3     1    6     7       0        0         1        3       1     255    28   255   255   255   255   255   255
   3     1    6     7       0        0         1        4       1     255    28   255   255   255   255   255   255
   3     1    6     7       0        0         1        5       1     255   113   255   254   252   254   252   254
   3     1    6     7       0        0         1        6       1     255   199   254     0    60    24    60   126
   4     1    1     7       0        0         1        1       1     128    64   160    80   168    84   170    85
   5     1    1     7       0        0         1        1       1       0     1     2     5    10    21    42    85
   6     1    1     7       0        0         1        1       1     170    85   170    85   170    85   170    85
   7     1    1     7       0        0         1        1       1     128    65   162    85   170    85   170    85
   8     1    1     7       0        0         1        1       1       0     0     0     0     8    20    42    85
   9     1    1     7       0        0         1        1       1       0     0     0     0     0    16    40    85
  26     1    1     6       0        0         1        1       1     254     2     2     2    30     2     2     2
  28     1    1     2       4        0         1        1       1       0     0     0     0   255   255   255   255
  29     1    1     6       0        0         1        1       1     128   128   128   136   136   136   255     0
  31     1    1     5       1        0         1        1       1     254   254   254   254   254   254   254   254
  32     1    8     3       0        0         1        1       1       0     1   155   155   255   255   255   255
  32     1    8     3       0        0         1        2       1       0     0   226   230   255   255   255   255
  32     1    8     3       0        0         1        3       1      63    33   127   127   255   255   255   255
  32     1    8     3       0        0         1        4       1       0     0    59   251   255   255   255   255
  32     1    8     3       0        0         1        5       1       3     2   223   223   255   255   255   255
  32     1    8     3       0        0         1        6       1     240    16   254   254   255   255   255   255
  32     1    8     3       0        0         1        7       1       0    24   127   127   255   255   255   255
  32     1    8     3       0        0         1        8       1       0     0   231   231   255   255   255   255
  33     1    8     3       0        0         1        1       1     126    66   254   255   255   255   255   255
  33     1    8     3       0        0         1        2       1       0    16   126   126   255   255   255   255
  33     1    8     3       0        0         1        3       1       0     0   143   143   255   255   255   255
  33     1    8     3       0        0         1        4       1       0     0   254   254   255   255   255   255
  33     1    8     3       0        0         1        5       1     126    66   127   255   255   255   255   255
  33     1    8     3       0        0         1        6       1      18    18   255   255   255   255   255   255
  33     1    8     3       0        0         1        7       1       0     0   255   255   255   255   255   255
  33     1    8     3       0        0         1        8       1       0     0   167   167   255   255   255   255
