TABLE 1 (Continued)
-------

SPRITE   H    L    INK    PAPER    FLASH    BRIGHT    XPOS    YPOS      1     2     3     4     5     6     7     8
------   -    -    ---    -----    -----    ------    ----    ----      -     -     -     -     -     -     -     -
  45     3    3     7       0        0         1        1       2      67    71    46    60    56    17   131    64
  45     3    3     7       0        0         1        2       2     191    44    78   187   119    46    25   123
  45     3    3     7       0        0         1        3       2      18    37   194     5   138   197   138     5
  45     3    3     7       0        0         1        1       3     160    81   162    82   170    84   170    85
  45     3    3     7       0        0         1        2       3       6   230   248   248   244   163    82    85
  45     3    3     7       0        0         1        3       3      42    21    42    85   170    85   170    85
 100     6    3     5       0        0         1        1       1       0     0     0     0     0     0     0     0
 100     6    3     5       0        0         1        2       1       0     0     0     0     0     0     0     0
 100     6    3     5       0        0         1        3       1       0     0     0     0     0     0     0     0
 100     6    3     5       0        0         1        1       2       1     1     7     6    12    15     5     0
 100     6    3     5       0        0         1        2       2     165   255    66    36    24   255    90     0
 100     6    3     5       0        0         1        3       2     128   128   224    96    48   240   160     0
 100     6    3     5       0        0         1        1       3       7    13   213    47   237   221    11    21
 100     6    3     5       0        0         1        2       3     255    90    90   255    36   165   255   129
 100     6    3     5       0        0         1        3       3     224   176   171   244   183   187   208   168
 100     6    3     5       0        0         1        1       4      34    68   248   144   160    64   144    96
 100     6    3     5       0        0         1        2       4      44    94   191   191     0     0     0     0
 100     6    3     5       0        0         1        3       4      68    34    31     9     5     2     9     6
 100     6    3     5       0        0         1        1       5       0     0     0     0     0     0     0     0
 100     6    3     5       0        0         1        2       5       0     0     0     0     0     0     0     0
 100     6    3     5       0        0         1        3       5       0     0     0     0     0     0     0     0
 100     6    3     5       0        0         1        1       6       0     0     0     0     0     0     0     0
 100     6    3     5       0        0         1        2       6       0     0     0     0     0     0     0     0
 100     6    3     5       0        0         1        3       6       0     0     0     0     0     0     0     0
